"","Taxa_updated","bin","count","proportion","X","weight_total_gm2_sp","biomass_per_bin_g"
"1","Atolla wyvillei","[0.7,1.2]",8,0.0645161290322581,1,0.1214886,0.00783797419354839
"2","Atolla wyvillei","(1.2,1.5]",7,0.0564516129032258,1,0.1214886,0.00685822741935484
"3","Atolla wyvillei","(1.5,1.7]",5,0.0403225806451613,1,0.1214886,0.00489873387096774
"4","Atolla wyvillei","(1.7,2]",10,0.0806451612903226,1,0.1214886,0.00979746774193548
"5","Atolla wyvillei","(2,2.18]",1,0.00806451612903226,1,0.1214886,0.000979746774193548
"6","Atolla wyvillei","(2.18,2.78]",6,0.0483870967741935,1,0.1214886,0.00587848064516129
"7","Atolla wyvillei","(2.78,3.01]",7,0.0564516129032258,1,0.1214886,0.00685822741935484
"8","Atolla wyvillei","(3.01,3.6]",7,0.0564516129032258,1,0.1214886,0.00685822741935484
"9","Atolla wyvillei","(3.6,4]",8,0.0645161290322581,1,0.1214886,0.00783797419354839
"10","Atolla wyvillei","(4,4.4]",3,0.0241935483870968,1,0.1214886,0.00293924032258065
"11","Atolla wyvillei","(4.4,5]",10,0.0806451612903226,1,0.1214886,0.00979746774193548
"12","Atolla wyvillei","(5,5.58]",2,0.0161290322580645,1,0.1214886,0.0019594935483871
"13","Atolla wyvillei","(5.58,5.99]",6,0.0483870967741935,1,0.1214886,0.00587848064516129
"14","Atolla wyvillei","(5.99,6.02]",7,0.0564516129032258,1,0.1214886,0.00685822741935484
"15","Atolla wyvillei","(6.02,6.4]",7,0.0564516129032258,1,0.1214886,0.00685822741935484
"16","Atolla wyvillei","(6.4,6.5]",7,0.0564516129032258,1,0.1214886,0.00685822741935484
"17","Atolla wyvillei","(6.5,6.76]",4,0.032258064516129,1,0.1214886,0.00391898709677419
"18","Atolla wyvillei","(6.76,7]",11,0.0887096774193548,1,0.1214886,0.010777214516129
"19","Atolla wyvillei","(7,7.37]",1,0.00806451612903226,1,0.1214886,0.000979746774193548
"20","Atolla wyvillei","(7.37,7.5]",7,0.0564516129032258,1,0.1214886,0.00685822741935484
"21","Bathylagus spp","(4,4.4]",4,0.0606060606060606,2,0.1493298,0.00905029090909091
"22","Bathylagus spp","[3,3.7]",5,0.0757575757575758,2,0.1493298,0.0113128636363636
"23","Bathylagus spp","(3.7,3.9]",3,0.0454545454545455,2,0.1493298,0.00678771818181818
"24","Bathylagus spp","(3.9,4]",3,0.0454545454545455,2,0.1493298,0.00678771818181818
"25","Bathylagus spp","(4.4,5.25]",2,0.0303030303030303,2,0.1493298,0.00452514545454546
"26","Bathylagus spp","(5.25,5.55]",3,0.0454545454545455,2,0.1493298,0.00678771818181818
"27","Bathylagus spp","(5.55,6]",4,0.0606060606060606,2,0.1493298,0.00905029090909091
"28","Bathylagus spp","(6,6.7]",4,0.0606060606060606,2,0.1493298,0.00905029090909091
"29","Bathylagus spp","(6.7,6.93]",2,0.0303030303030303,2,0.1493298,0.00452514545454546
"30","Bathylagus spp","(6.93,7.45]",3,0.0454545454545455,2,0.1493298,0.00678771818181818
"31","Bathylagus spp","(7.45,8.07]",3,0.0454545454545455,2,0.1493298,0.00678771818181818
"32","Bathylagus spp","(8.07,8.2]",5,0.0757575757575758,2,0.1493298,0.0113128636363636
"33","Bathylagus spp","(8.2,8.7]",2,0.0303030303030303,2,0.1493298,0.00452514545454546
"34","Bathylagus spp","(8.7,9.4]",3,0.0454545454545455,2,0.1493298,0.00678771818181818
"35","Bathylagus spp","(9.4,9.68]",3,0.0454545454545455,2,0.1493298,0.00678771818181818
"36","Bathylagus spp","(9.68,10.2]",4,0.0606060606060606,2,0.1493298,0.00905029090909091
"37","Bathylagus spp","(10.2,11.1]",3,0.0454545454545455,2,0.1493298,0.00678771818181818
"38","Bathylagus spp","(11.1,12]",5,0.0757575757575758,2,0.1493298,0.0113128636363636
"39","Bathylagus spp","(12,13.2]",1,0.0151515151515152,2,0.1493298,0.00226257272727273
"40","Bathylagus spp","(13.2,16.5]",4,0.0606060606060606,2,0.1493298,0.00905029090909091
"41","Chaetognath","[1,2.5]",105,0.063752276867031,3,4.37988953333333,0.279227930176077
"42","Chaetognath","(2.5,2.96]",60,0.0364298724954463,3,4.37988953333333,0.159558817243473
