"","higher_taxa","Layer","total_DIC_mg","DIC_layer","percent_cont"
"1","Gelatinous (other)","Epi",1.10027943217314,5.66478425295189,0.194231480501625
"2","Gelatinous (other)","Umeso",0.124989572476588,5.44030574956867,0.0229747330812239
"3","Gelatinous (other)","Lmeso",0.189393304247792,1.14886485041099,0.164852553527109
"4","Fish","Epi",0.0616470843051883,5.66478425295189,0.010882512299222
"5","Fish","Umeso",0.109348224736086,5.44030574956867,0.0200996469260492
"6","Fish","Lmeso",0.582362029663929,1.14886485041099,0.506902121216081
"7","Squid","Epi",0.0896350940654259,5.66478425295189,0.0158232141001164
"8","Squid","Umeso",0.00471763652975926,5.44030574956867,0.000867163859335166
"9","Squid","Lmeso",0.0235881826487963,1.14886485041099,0.0205317297681776
"10","Krill","Epi",0.237586408919763,5.66478425295189,0.0419409457290378
"11","Krill","Umeso",0.0312912944625858,5.44030574956867,0.0057517529166567
"12","Krill","Lmeso",0.0156456472312929,1.14886485041099,0.0136183531297836
"13","P. atlanticum","Epi",4.09514485860402,5.66478425295189,0.722912766972557
"14","P. atlanticum","Umeso",5.14274005499109,5.44030574956867,0.945303497951164
"15","P. atlanticum","Lmeso",0.285707780832838,1.14886485041099,0.248687024179241
"16","Crustacean (other)","Epi",0.0804913748843583,5.66478425295189,0.0142090803974423
"17","Crustacean (other)","Umeso",0.0272189663725562,5.44030574956867,0.00500320526557064
"18","Crustacean (other)","Lmeso",0.0521679057863451,1.14886485041099,0.0454082181796079
