"","Species","Station","mgC_m.2_d","total_sd_mgC_d","flux","Total_flux"
"1","Crustacean (other)","P1",0,7.25250255049292,"micronekton","MMP"
"2","Fish","P1",1.09522587256487,7.25250255049292,"micronekton","MMP"
"3","Gelatinous (other)","P1",0.16955919085324,7.25250255049292,"micronekton","MMP"
"4","Krill","P1",0.253590611969437,7.25250255049292,"micronekton","MMP"
"5","P. atlanticum","P1",0,7.25250255049292,"micronekton","MMP"
"6","S. thompsoni","P1",7.74692782792382,7.25250255049292,"micronekton","MMP"
"7","Crustacean (other)","P2",0.000396584770088606,1.86075267921828,"micronekton","MMP"
"8","Fish","P2",2.20021281969095,1.86075267921828,"micronekton","MMP"
"9","Gelatinous (other)","P2",0.413273828580121,1.86075267921828,"micronekton","MMP"
"10","Krill","P2",2.66689116641898,1.86075267921828,"micronekton","MMP"
"11","P. atlanticum","P2",0,1.86075267921828,"micronekton","MMP"
"12","S. thompsoni","P2",2.49360667245984,1.86075267921828,"micronekton","MMP"
"13","Crustacean (other)","SOTS",0.0407128096901117,1.62783329112274,"micronekton","MMP"
"14","Fish","SOTS",2.52346899641713,1.62783329112274,"micronekton","MMP"
"15","Gelatinous (other)","SOTS",0.531536946440563,1.62783329112274,"micronekton","MMP"
"16","Krill","SOTS",0.509720794404845,1.62783329112274,"micronekton","MMP"
"17","P. atlanticum","SOTS",1.05152939067016,1.62783329112274,"micronekton","MMP"
"18","Rhincalanus_gigas","P1",30.0797390028045,NA,"copepod","MMP"
"19","Oithona spp.","P1",2.1191884024154,NA,"copepod","MMP"
"20","Rhincalanus_gigas","P2",15.84832324293,NA,"copepod","MMP"
"21","Oithona spp.","P2",4.47326977323204,NA,"copepod","MMP"
"22","Neocalanus_tonsus","SOTS",0.699108288724813,NA,"copepod","MMP"
"23","Oithona spp.","SOTS",0.0506935579099855,NA,"copepod","MMP"
