"","higher_taxa","Layer","total_POC_mg","POC_layer","percent_cont"
"1","Gelatinous (other)","Epi",2.04866176405371,4.5048084996293,0.454772220444507
"2","Gelatinous (other)","Umeso",0.18551879668409,3.04487962716573,0.0609281217651211
"3","Gelatinous (other)","Lmeso",0.340976011734814,0.662649617625078,0.514564564236625
"4","Fish","Epi",0.0130640874459777,4.5048084996293,0.00290003169880645
"5","Fish","Umeso",0.0236880801101062,3.04487962716573,0.00777964419307957
"6","Fish","Lmeso",0.117500234246182,0.662649617625078,0.17731879883565
"7","Squid","Epi",0.015422182712164,4.5048084996293,0.0034234935210749
"8","Squid","Umeso",0.000811693826956002,3.04487962716573,0.000266576655350922
"9","Squid","Lmeso",0.00405846913478001,0.662649617625078,0.00612460797808271
"10","Krill","Epi",0.133788062964196,4.5048084996293,0.0296989456877479
"11","Krill","Umeso",0.0163956620541987,3.04487962716573,0.00538466673950599
"12","Krill","Lmeso",0.00819783102709935,0.662649617625078,0.0123712906625981
"13","P. atlanticum","Epi",2.2298175854288,4.5048084996293,0.494986098879072
"14","P. atlanticum","Umeso",2.80023603751523,3.04487962716573,0.919654101440384
"15","P. atlanticum","Lmeso",0.155568668750846,0.662649617625078,0.234767612646335
"16","Crustacean (other)","Epi",0.0640548170244616,4.5048084996293,0.014219209768791
"17","Crustacean (other)","Umeso",0.0182293569751486,3.04487962716573,0.00598688920655858
"18","Crustacean (other)","Lmeso",0.0363484027313563,0.662649617625078,0.0548531256407091
