"","Depth_Stratum","Taxa_updated","percent_depth"
"1","LM","Atolla wyvillei",21.1681358199277
"2","LM","Bathylagus spp.",100
"3","LM","Chaetognath",12.3752129874166
"4","LM","Cranchidae",19.4387643535414
"5","LM","Cyclothone spp.",91.5443475021401
"6","LM","Euphausia similis",6.55778450943266
"7","LM","Lampanyctus australis",20.6197894412057
"8","LM","Nannobrachium achirus",100
"9","LM","Sergestes spp.",35.4468899866152
"10","LM","Themisto spp",29.5295494608676
"11","LM","Gymnosomata",100
"12","LM","Pyrosoma atlanticum",2.20130106252328
"13","UM","Chaetognath",7.17602017976177
"14","UM","Pyrosoma atlanticum",54.4760244720433
"15","UM","Themisto spp",13.7777600787496
"16","UM","Euphausia similis",13.659927987644
"17","UM","Cyclothone spp.",2.81855083261997
"18","UM","Thysannoessa macura",6.41457147239769
"19","E","Chaetognath",80.4487668328217
"20","E","Cranchidae",76.7264164175129
"21","E","Cyclothone spp.",5.63710166523994
"22","E","Themisto spp",56.6926904603828
"23","E","Euphausia similis",79.7822875029234
"24","E","Pyrosoma atlanticum",43.3226744654335
"25","E","Thysannoessa macura",91.4430123638964
"26","LM","Thysannoessa macura",2.14241616370595
"27","UM","Cranchidae",3.83481922894568
"28","UM","Sergestes spp.",18.9817954827828
"29","UM","Atolla wyvillei",78.8318641800723
"30","UM","Lampanyctus australis",57.3897496388815
"31","E","Lampanyctus australis",21.9904609199128
"32","E","Sergestes spp.",45.571314530602
