"","Depth_Stratum","Taxa_updated","percent_depth","migration"
"1","LM","Atolla wyvillei",21.1681358199277,"resident"
"2","LM","Atolla wyvillei",100,"resident"
"3","LM","Atolla wyvillei",44.3425112109222,"resident"
"4","UM","Atolla wyvillei",78.8318641800723,"resident"
"5","E","Atolla wyvillei",55.6574887890778,"resident"
"6","LM","Bathylagus spp.",100,"resident"
"7","LM","Bathylagus spp.",91.5133946111397,"resident"
"8","LM","Bathylagus spp.",28.239206059303,"resident"
"9","UM","Bathylagus spp.",8.4866053888603,"resident"
"10","UM","Bathylagus spp.",71.760793940697,"resident"
"11","LM","Chaetognath",12.3752129874166,"resident"
"12","LM","Chaetognath",91.1361612717224,"resident"
"13","LM","Chaetognath",38.5454673523992,"resident"
"14","UM","Chaetognath",7.17602017976177,"resident"
"15","UM","Chaetognath",8.17467965271177,"resident"
"16","UM","Chaetognath",57.0909314482052,"resident"
"17","E","Chaetognath",80.4487668328217,"resident"
"18","E","Chaetognath",0.68915907556583,"resident"
"19","E","Chaetognath",4.36360119939562,"resident"
"20","LM","Cranchidae",19.4387643535414,"migrator"
"21","LM","Cranchidae",69.2401215805471,"migrator"
"22","LM","Cranchidae",3.63798330435782,"migrator"
"23","UM","Cranchidae",3.83481922894568,"migrator"
"24","UM","Cranchidae",30.7598784194529,"migrator"
"25","UM","Cranchidae",47.2707941206052,"migrator"
"26","E","Cranchidae",76.7264164175129,"migrator"
"27","E","Cranchidae",49.091222575037,"migrator"
"28","LM","Cyclothone spp.",91.5443475021401,"resident"
"29","LM","Cyclothone spp.",68.7597754325886,"resident"
"30","LM","Cyclothone spp.",100,"resident"
"31","UM","Cyclothone spp.",2.81855083261997,"resident"
"32","E","Cyclothone spp.",5.63710166523994,"resident"
"33","E","Cyclothone spp.",31.2402245674114,"resident"
"34","LM","Electrona antarctica",25.5554543409189,"migrator"
"35","LM","Electrona antarctica",38.2151033472356,"migrator"
"36","UM","Electrona antarctica",3.33313212351356,"migrator"
"37","UM","Electrona antarctica",19.2219660392829,"migrator"
"38","E","Electrona antarctica",71.1114135355675,"migrator"
"39","E","Electrona antarctica",42.5629306134815,"migrator"
"40","LM","Euphausia similis",6.55778450943266,"resident"
"41","LM","Euphausia similis",47.9195091878065,"resident"
"42","LM","Euphausia similis",0.451913548857835,"resident"
"43","UM","Euphausia similis",13.659927987644,"resident"
"44","UM","Euphausia similis",3.65350961958493,"resident"
"45","UM","Euphausia similis",3.04700502924394,"resident"
"46","E","Euphausia similis",79.7822875029234,"resident"
"47","E","Euphausia similis",48.4269811926086,"resident"
"48","E","Euphausia similis",96.5010814218982,"resident"
"49","LM","Euphausia triacantha",27.6534295602462,"resident"
"50","LM","Euphausia triacantha",4.97467043954084,"resident"
"51","UM","Euphausia triacantha",36.4724725670616,"resident"
"52","UM","Euphausia triacantha",11.1461112948119,"resident"
"53","E","Euphausia triacantha",35.8740978726923,"resident"
"54","E","Euphausia triacantha",83.8792182656473,"resident"
"55","LM","Gennadas spp.",100,"resident"
"56","LM","Gennadas spp.",100,"resident"
"57","LM","Gymnosomata",100,"resident"
"58","LM","Gymnosomata",16.9244236941932,"resident"
"59","LM","Gymnosomata",7.36266896750072,"resident"
"60","UM","Gymnosomata",69.2332944266122,"resident"
"61","UM","Gymnosomata",33.0823332548958,"resident"
"62","E","Gymnosomata",13.8422818791946,"resident"
"63","E","Gymnosomata",59.5549977776035,"resident"
"64","LM","Lampanyctus australis",20.6197894412057,"migrator"
"65","UM","Lampanyctus australis",57.3897496388815,"migrator"
"66","E","Lampanyctus australis",21.9904609199128,"migrator"
"67","LM","Nannobrachium achirus",100,"resident"
"68","LM","Nannobrachium achirus",100,"resident"
"69","LM","Nannobrachium achirus",100,"resident"
"70","LM","Periphylla periphylla",80.0063221115853,"resident"
"71","LM","Periphylla periphylla",67.3286368982966,"resident"
"72","LM","Periphylla periphylla",80.6733080934804,"resident"
"73","UM","Periphylla periphylla",9.85966699653871,"resident"
"74","E","Periphylla periphylla",19.9936778884147,"resident"
"75","E","Periphylla periphylla",32.6713631017034,"resident"
"76","E","Periphylla periphylla",9.46702490998085,"resident"
"77","LM","Pyrosoma atlanticum",2.20130106252328,"migrator"
"78","UM","Pyrosoma atlanticum",54.4760244720433,"migrator"
"79","E","Pyrosoma atlanticum",43.3226744654335,"migrator"
"80","LM","Sergestes spp.",35.4468899866152,"resident"
"81","LM","Sergestes spp.",92.7562705501455,"resident"
"82","LM","Sergestes spp.",100,"resident"
"83","UM","Sergestes spp.",18.9817954827828,"resident"
"84","UM","Sergestes spp.",7.2437294498545,"resident"
"85","E","Sergestes spp.",45.571314530602,"resident"
"86","LM","Themisto spp",29.5295494608676,"resident"
"87","LM","Themisto spp",17.5858534975421,"resident"
"88","LM","Themisto spp",0.589336706424783,"resident"
"89","UM","Themisto spp",13.7777600787496,"resident"
"90","UM","Themisto spp",27.467039552537,"resident"
"91","UM","Themisto spp",4.85958389616502,"resident"
"92","E","Themisto spp",56.6926904603828,"resident"
"93","E","Themisto spp",54.947106949921,"resident"
"94","E","Themisto spp",94.5510793974102,"resident"
"95","LM","Thysannoessa macura",2.14241616370595,"resident"
"96","UM","Thysannoessa macura",6.41457147239769,"resident"
"97","E","Thysannoessa macura",91.4430123638964,"resident"
