Voyage,Deployment,Accession number,Species,Specimen number,Box,Length (mm),Weight (g),weight(mg),
IN2020_V08,30,27,Sergestes sp.,1,,56,1.386,1386,
IN2020_V08,30,27,Sergestes sp.,2,,43,0.622,622,
IN2020_V08,29,34,Sergestes sp.,3,,47,0.861,861,
IN2020_V08,29,34,Sergestes sp.,4,,35,0.387,387,
IN2020_V08,29,34,Sergestes sp.,5,,40,0.421,421,
IN2020_V08,29,34,Sergestes sp.,6,,34,0.367,367,
IN2020_V08,29,34,Sergestes sp.,7,,35,0.379,379,
IN2020_V08,29,34,Sergestes sp.,8,,30,0.235,235,
IN2020_V08,29,34,Sergestes sp.,9,,32,0.282,282,
IN2020_V08,29,34,Sergestes sp.,10,,35,0.323,323,
IN2020_V08,29,34,Sergestes sp.,11,,33,0.313,313,
IN2020_V08,29,34,Sergestes sp.,12,,42,0.584,584,
IN2020_V08,29,34,Sergestes sp.,13,,25,0.204,204,
IN2020_V08,29,34,Sergestes sp.,14,,32,0.359,359,
IN2020_V08,28,5,Sergestes sp.,15,,28,0.374,374,
IN2020_V08,28,5,Sergestes sp.,16,,27,0.228,228,
IN2020_V08,28,5,Sergestes sp.,17,,29,0.338,338,
IN2020_V08,28,5,Sergestes sp.,18,,32,0.359,359,
IN2020_V08,28,5,Sergestes sp.,19,,28,0.284,284,
IN2020_V08,28,5,Sergestes sp.,20,,25,0.214,214,
IN2018_V02,28,5,Sergestes sp.,21,,25,0.197,197,
IN2018_V02,28,5,Sergestes sp.,22,,18,0.092,92,
IN2018_V02,28,5,Sergestes sp.,23,,18,0.08,80,
IN2018_V02,7,12,Sergestes sp.,24,,42,0.721,721,
IN2018_V02,7,12,Sergestes sp.,25,,36,0.753,753,
IN2018_V02,7,12,Sergestes sp.,26,,50,0.995,995,
IN2018_V02,7,12,Sergestes sp.,27,,46,0.755,755,
IN2018_V02,7,12,Sergestes sp.,28,,42,0.6238,,
IN2018_V02,7,12,Sergestes sp.,29,,39,0.524,,
IN2018_V02,7,12,Sergestes sp.,30,,33,0.508,,
IN2018_V02,7,12,Sergestes sp.,31,,28,0.289,potential contamination with foil bits present,
IN2018_V02,7,12,Sergestes sp.,32,,29,0.333,,
IN2018_V02,7,12,Sergestes sp.,33,,27,0.276,,
IN2018_V02,7,12,Sergestes sp.,34,,30,0.352,,
IN2018_V02,7,12,Sergestes sp.,35,,29,0.304,,
IN2018_V02,7,12,Sergestes sp.,36,,32,0.466,,
IN2018_V02,7,12,Sergestes sp.,37,,25,0.219,,
IN2018_V02,7,12,Sergestes sp.,38,,27,0.276,,
