Voyage,Deployment,Accession number,Species,Specimen number,Box,Length (mm),Weight (g),weight (mg)
IN2020_V08,42,20,Themisto spp.,1,,12,0.045,45
IN2020_V08,42,20,Themisto spp.,2,,10,0.022,22
IN2020_V08,42,20,Themisto spp.,3,,11,0.03,30
IN2020_V08,42,20,Themisto spp.,4,,11,0.026,26
IN2020_V08,42,20,Themisto spp.,5,,10,0.025,25
IN2020_V08,44,9,Themisto spp.,6,,14,0.093,93
IN2020_V08,44,9,Themisto spp.,7,,13,0.076,76
IN2020_V08,44,9,Themisto spp.,8,,10,0.062,62
IN2020_V08,44,9,Themisto spp.,9,,8,0.041,41
IN2020_V08,44,9,Themisto spp.,10,,12,0.075,75
IN2020_V08,44,9,Themisto spp.,11,,11,0.033,33
IN2020_V08,44,9,Themisto spp.,12,,9,0.038,38
IN2020_V08,44,9,Themisto spp.,13,,10,0.042,42
IN2018_V02,44,9,Themisto spp.,14,,10,0.036,36
