"","X","Site","daylight","Depth_Stratum","Deployment","Acc","Acc_ed","Taxa_updated","Length_mm","Length_cm","a","b","weight_g"
"1",11002,"55S","Day","Lmeso",36,2,"2","Atolla wyvillei",70,7,0.006,3,2.058
"2",11003,"55S","Day","Lmeso",36,2,"2","Atolla wyvillei",65,6.5,0.006,3,1.6478
"3",11004,"55S","Day","Lmeso",36,2,"2","Atolla wyvillei",60,6,0.006,3,1.296
"4",11005,"55S","Day","Lmeso",36,2,"2","Atolla wyvillei",57,5.7,0.006,3,1.1112
"5",11006,"55S","Day","Lmeso",36,2,"2","Atolla wyvillei",65,6.5,0.006,3,1.6478
"6",11007,"55S","Day","Lmeso",36,2,"2","Atolla wyvillei",50,5,0.006,3,0.75
"7",11008,"55S","Day","Lmeso",36,2,"2","Atolla wyvillei",50,5,0.006,3,0.75
"8",11009,"55S","Day","Lmeso",36,2,"2","Atolla wyvillei",57,5.7,0.006,3,1.1112
"9",11010,"55S","Day","Lmeso",36,2,"2","Atolla wyvillei",30,3,0.006,3,0.162
"10",11011,"55S","Day","Lmeso",36,2,"2","Atolla wyvillei",75,7.5,0.006,3,2.5312
"11",11012,"55S","Day","Lmeso",36,2,"2","Atolla wyvillei",30,3,0.006,3,0.162
"12",11013,"55S","Day","Lmeso",36,2,"2","Atolla wyvillei",25,2.5,0.006,3,0.0938
"13",11014,"55S","Day","Lmeso",36,2,"2","Atolla wyvillei",20,2,0.006,3,0.048
"14",11015,"55S","Day","Lmeso",36,2,"2","Atolla wyvillei",20,2,0.006,3,0.048
"15",13866,"58S","Day","Epi",39,11,"11","Atolla wyvillei",7.5,0.75,0.006,3,0.0025
"16",15119,"58S","Day","Lmeso",41,9,"9","Atolla wyvillei",75,7.5,0.006,3,2.5312
"17",15120,"58S","Day","Lmeso",41,9,"9","Atolla wyvillei",70,7,0.006,3,2.058
"18",15121,"58S","Day","Lmeso",41,9,"9","Atolla wyvillei",68,6.8,0.006,3,1.8866
"19",15122,"58S","Day","Lmeso",41,9,"9","Atolla wyvillei",70,7,0.006,3,2.058
"20",15123,"58S","Day","Lmeso",41,9,"9","Atolla wyvillei",30,3,0.006,3,0.162
"21",15124,"58S","Day","Lmeso",41,9,"9","Atolla wyvillei",18,1.8,0.006,3,0.035
"22",15125,"58S","Day","Lmeso",41,9,"9","Atolla wyvillei",28,2.8,0.006,3,0.1317
"23",15126,"58S","Day","Lmeso",41,9,"9","Atolla wyvillei",15,1.5,0.006,3,0.0203
"24",18465,"58S","Day","Lmeso",47,7,"7","Atolla wyvillei",65,6.5,0.006,3,1.6478
"25",18466,"58S","Day","Lmeso",47,7,"7","Atolla wyvillei",68,6.8,0.006,3,1.8866
"26",18467,"58S","Day","Lmeso",47,7,"7","Atolla wyvillei",30,3,0.006,3,0.162
"27",18468,"58S","Day","Lmeso",47,7,"7","Atolla wyvillei",58,5.8,0.006,3,1.1707
"28",18469,"58S","Day","Lmeso",47,7,"7","Atolla wyvillei",50,5,0.006,3,0.75
"29",18470,"58S","Day","Lmeso",47,7,"7","Atolla wyvillei",34,3.4,0.006,3,0.2358
"30",18471,"58S","Day","Lmeso",47,7,"7","Atolla wyvillei",35,3.5,0.006,3,0.2572
"31",18472,"58S","Day","Lmeso",47,7,"7","Atolla wyvillei",70,7,0.006,3,2.058
"32",18473,"58S","Day","Lmeso",47,7,"7","Atolla wyvillei",33,3.3,0.006,3,0.2156
"33",4383,"SOTS","Night","Meso",18,14,"14","Atolla wyvillei",40,4,0.006,3,0.384
"34",4650,"SOTS","Day","Lmeso",22,1,"1","Atolla wyvillei",40,4,0.006,3,0.384
"35",4651,"SOTS","Day","Lmeso",22,1,"1","Atolla wyvillei",15,1.5,0.006,3,0.0203
"36",4652,"SOTS","Day","Lmeso",22,1,"1","Atolla wyvillei",12,1.2,0.006,3,0.0104
"37",4653,"SOTS","Day","Lmeso",22,1,"1","Atolla wyvillei",13,1.3,0.006,3,0.0132
"38",4654,"SOTS","Day","Lmeso",22,1,"1","Atolla wyvillei",8,0.8,0.006,3,0.0031
"39",4655,"SOTS","Day","Lmeso",22,1,"1","Atolla wyvillei",42,4.2,0.006,3,0.4445
"40",7181,"55S","Day","Lmeso",28,3,"3","Atolla wyvillei",50,5,0.006,3,0.75
"41",7182,"55S","Day","Lmeso",28,3,"3","Atolla wyvillei",70,7,0.006,3,2.058
"42",7183,"55S","Day","Lmeso",28,3,"3","Atolla wyvillei",45,4.5,0.006,3,0.5468
"43",7184,"55S","Day","Lmeso",28,3,"3","Atolla wyvillei",60,6,0.006,3,1.296
"44",7185,"55S","Day","Lmeso",28,3,"3","Atolla wyvillei",75,7.5,0.006,3,2.5312
"45",7186,"55S","Day","Lmeso",28,3,"3","Atolla wyvillei",70,7,0.006,3,2.058
"46",7187,"55S","Day","Lmeso",28,3,"3","Atolla wyvillei",60,6,0.006,3,1.296
"47",7188,"55S","Day","Lmeso",28,3,"3","Atolla wyvillei",40,4,0.006,3,0.384
"48",7189,"55S","Day","Lmeso",28,3,"3","Atolla wyvillei",75,7.5,0.006,3,2.5312
"49",7190,"55S","Day","Lmeso",28,3,"3","Atolla wyvillei",60,6,0.006,3,1.296
"50",7191,"55S","Day","Lmeso",28,3,"3","Atolla wyvillei",63,6.3,0.006,3,1.5003
"51",7192,"55S","Day","Lmeso",28,3,"3","Atolla wyvillei",60,6,0.006,3,1.296
"52",7193,"55S","Day","Lmeso",28,3,"3","Atolla wyvillei",65,6.5,0.006,3,1.6478
"53",7194,"55S","Day","Lmeso",28,3,"3","Atolla wyvillei",35,3.5,0.006,3,0.2572
"54",7195,"55S","Day","Lmeso",28,3,"3","Atolla wyvillei",30,3,0.006,3,0.162
"55",7196,"55S","Day","Lmeso",28,3,"3","Atolla wyvillei",40,4,0.006,3,0.384
"56",7197,"55S","Day","Lmeso",28,3,"3","Atolla wyvillei",40,4,0.006,3,0.384
"57",7198,"55S","Day","Lmeso",28,3,"3","Atolla wyvillei",20,2,0.006,3,0.048
"58",7199,"55S","Day","Lmeso",28,3,"3","Atolla wyvillei",15,1.5,0.006,3,0.0203
"59",8731,"55S","Day","Lmeso",30,25,"25","Atolla wyvillei",70,7,0.006,3,2.058
"60",8732,"55S","Day","Lmeso",30,25,"25","Atolla wyvillei",60,6,0.006,3,1.296
"61",8733,"55S","Day","Lmeso",30,25,"25","Atolla wyvillei",30,3,0.006,3,0.162
"62",8734,"55S","Day","Lmeso",30,25,"25","Atolla wyvillei",20,2,0.006,3,0.048
"63",8735,"55S","Day","Lmeso",30,25,"25","Atolla wyvillei",20,2,0.006,3,0.048
"64",8736,"55S","Day","Lmeso",30,25,"25","Atolla wyvillei",25,2.5,0.006,3,0.0938
"65",8737,"55S","Day","Lmeso",30,25,"25","Atolla wyvillei",40,4,0.006,3,0.384
"66",8738,"55S","Day","Lmeso",30,25,"25","Atolla wyvillei",20,2,0.006,3,0.048
"67",771,"SOTS","Day","Lmeso",7,18,"18","Atolla wyvillei",26,2.6,0.006,3,0.1055
"68",2237,"SOTS","Night","Lmeso",13,19,"19","Atolla wyvillei",40,4,0.006,3,0.384
"69",7553,"55S","Night","Lmeso",29,1,"1","Atolla wyvillei",63,6.3,0.006,3,1.5003
"70",7554,"55S","Night","Lmeso",29,1,"1","Atolla wyvillei",65,6.5,0.006,3,1.6478
"71",7555,"55S","Night","Lmeso",29,1,"1","Atolla wyvillei",67,6.7,0.006,3,1.8046
"72",7556,"55S","Night","Lmeso",29,1,"1","Atolla wyvillei",56,5.6,0.006,3,1.0537
"73",7557,"55S","Night","Lmeso",29,1,"1","Atolla wyvillei",70,7,0.006,3,2.058
"74",7558,"55S","Night","Lmeso",29,1,"1","Atolla wyvillei",67,6.7,0.006,3,1.8046
"75",7559,"55S","Night","Lmeso",29,1,"1","Atolla wyvillei",64,6.4,0.006,3,1.5729
"76",7560,"55S","Night","Lmeso",29,1,"1","Atolla wyvillei",64,6.4,0.006,3,1.5729
"77",7561,"55S","Night","Lmeso",29,1,"1","Atolla wyvillei",55,5.5,0.006,3,0.9982
"78",7562,"55S","Night","Lmeso",29,1,"1","Atolla wyvillei",62,6.2,0.006,3,1.43
"79",7563,"55S","Night","Lmeso",29,1,"1","Atolla wyvillei",42,4.2,0.006,3,0.4445
"80",7564,"55S","Night","Lmeso",29,1,"1","Atolla wyvillei",64,6.4,0.006,3,1.5729
"81",7565,"55S","Night","Lmeso",29,1,"1","Atolla wyvillei",32,3.2,0.006,3,0.1966
"82",10362,"55S","Night","Lmeso",35,13,"13","Atolla wyvillei",60,6,0.006,3,1.296
"83",10363,"55S","Night","Lmeso",35,13,"13","Atolla wyvillei",50,5,0.006,3,0.75
"84",10364,"55S","Night","Lmeso",35,13,"13","Atolla wyvillei",65,6.5,0.006,3,1.6478
"85",10365,"55S","Night","Lmeso",35,13,"13","Atolla wyvillei",20,2,0.006,3,0.048
"86",15652,"58S","Night","Lmeso",42,30,"30","Atolla wyvillei",45,4.5,0.006,3,0.5468
"87",15653,"58S","Night","Lmeso",42,30,"30","Atolla wyvillei",36,3.6,0.006,3,0.2799
"88",15654,"58S","Night","Lmeso",42,30,"30","Atolla wyvillei",75,7.5,0.006,3,2.5312
"89",15655,"58S","Night","Lmeso",42,30,"30","Atolla wyvillei",65,6.5,0.006,3,1.6478
"90",15656,"58S","Night","Lmeso",42,30,"30","Atolla wyvillei",43,4.3,0.006,3,0.477
"91",15657,"58S","Night","Lmeso",42,30,"30","Atolla wyvillei",24,2.4,0.006,3,0.0829
"92",15658,"58S","Night","Lmeso",42,30,"30","Atolla wyvillei",20,2,0.006,3,0.048
"93",15659,"58S","Night","Lmeso",42,30,"30","Atolla wyvillei",15,1.5,0.006,3,0.0203
"94",15660,"58S","Night","Lmeso",42,30,"30","Atolla wyvillei",21,2.1,0.006,3,0.0556
"95",15661,"58S","Night","Lmeso",42,30,"30","Atolla wyvillei",17,1.7,0.006,3,0.0295
"96",15662,"58S","Night","Lmeso",42,30,"30","Atolla wyvillei",72,7.2,0.006,3,2.2395
"97",15663,"58S","Night","Lmeso",42,30,"30","Atolla wyvillei",66,6.6,0.006,3,1.725
"98",15664,"58S","Night","Lmeso",42,30,"30","Atolla wyvillei",45,4.5,0.006,3,0.5468
"99",15665,"58S","Night","Lmeso",42,30,"30","Atolla wyvillei",75,7.5,0.006,3,2.5312
"100",17548,"58S","Night","Lmeso",46,16,"16","Atolla wyvillei",70,7,0.006,3,2.058
"101",17549,"58S","Night","Lmeso",46,16,"16","Atolla wyvillei",57,5.7,0.006,3,1.1112
