Voyage,Deployment,Accession number,Species,Specimen number,Box,Length (mm),Weight (g),,,,,
IN2020_V08,29,67,Bathylagus spp,31,1,34,0.1,,,,,
IN2020_V08,29,67,Bathylagus spp,26,1,35,0.2,,,,,
IN2020_V08,29,67,Bathylagus spp,27,1,35,0.1,,,,,
IN2020_V08,29,67,Bathylagus spp,28,1,35,0.1,,,,,
IN2020_V08,29,67,Bathylagus spp,24,1,36,0.2,,,,,
IN2020_V08,29,67,Bathylagus spp,25,1,36,0.2,,,,,
IN2020_V08,40,25,Bathylagus spp,23,1,38,0.2,,,,,
IN2020_V08,29,67,Bathylagus spp,30,1,38,0.4,,,,,
IN2020_V08,29,67,Bathylagus spp,29,1,40,0.2,,,,,
IN2020_V08,42,2,Bathylagus spp,11,1,52,0.9,,,,,
IN2020_V08,42,2,Bathylagus spp,17,1,53,1.3,,,,,
IN2020_V08,29,10,Bathylagus spp,3,1,55,1.1,,,,,
IN2020_V08,42,2,Bathylagus spp,12,1,58,1.7,,,,,
IN2020_V08,42,2,Bathylagus spp,13,1,61,1.8,,,,,
IN2020_V08,46,1,Bathylagus spp,5,1,66,2.5,,,,,
IN2020_V08,46,1,Bathylagus spp,10,1,66,1.6,,,,,
IN2020_V08,46,1,Bathylagus spp,6,1,67,2.6,,,,,
IN2020_V08,29,10,Bathylagus spp,4,1,68,2.5,,,,,
IN2020_V08,53,1,Bathylagus spp,18,1,71,2.8,,,,,
IN2020_V08,29,10,Bathylagus spp,2,1,75,3.4,,,,,
IN2020_V08,53,1,Bathylagus spp,19,1,75,3.9,,,,,
IN2020_V08,40,25,Bathylagus spp,20,1,75,3.7,,,,,
IN2020_V08,29,10,Bathylagus spp,1,1,76,3.4,,,,,
IN2020_V08,40,25,Bathylagus spp,21,1,76,3.9,,,,,
IN2020_V08,46,1,Bathylagus spp,9,1,80,5,,,,,
IN2020_V08,42,2,Bathylagus spp,14,1,85,5.9,,,,,
IN2020_V08,46,1,Bathylagus spp,8,1,86,5.7,,,,,
IN2020_V08,42,2,Bathylagus spp,16,1,97,9,,,,,
IN2020_V08,42,2,Bathylagus spp,15,1,98,7,,,,,
IN2020_V08,46,1,Bathylagus spp,7,1,105,13.2,,,,,
IN2020_V08,40,25,Bathylagus spp,22,1,109,17,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
