Voyage,Deployment,Accession number,Species,Specimen number,Box,Length (mm),Weight (g),,,,,,,,,,,,,av. Weight catch comp,,
IN2020_V08,13,1,Cyclothone,17,1,23,0.05,,,,,,,,,,,,,0.014285714,,
IN2020_V08,7,5,Cyclothone,36,2,25,0.1,,,,,,,,,,,,,0.166666667,,
IN2020_V08,13,1,Cyclothone,14,1,26,0.1,,,,,,,,,,,,,0.155172414,,0.386689018
IN2020_V08,13,1,Cyclothone,18,1,26,0.05,,,,,,,,,,,,,1.25974026,,
IN2020_V08,7,5,Cyclothone,43,2,27,0.1,,,,,,,,,,,,,0.043478261,,
IN2020_V08,13,1,Cyclothone,19,1,28,0.05,,,,,,,,,,,,,0.25,,
IN2020_V08,7,5,Cyclothone,42,2,28,0.05,,,,,,,,,,,,,0.2,,
IN2020_V08,13,1,Cyclothone,9,1,29,0.1,,,,,,,,,,,,,0.05,,
IN2020_V08,13,1,Cyclothone,4,1,30,0.1,,,,,,,,,,,,,0.5,,
IN2020_V08,7,5,Cyclothone,24,1,30,0.1,,,,,,,,,,,,,0.184210526,,
IN2020_V08,13,1,Cyclothone,2,1,31,0.1,,,,,,,,,,,,,0.602941176,,
IN2020_V08,13,1,Cyclothone,10,1,31,0.1,,,,,,,,,,,,,0.088235294,,
IN2020_V08,13,1,Cyclothone,13,1,31,0.1,,,,,,,,,,,,,0.875,,
IN2020_V08,13,1,Cyclothone,16,1,31,0.1,,,,,,,,,,,,,0.272727273,,
IN2020_V08,7,5,Cyclothone,39,2,31,0.1,,,,,,,,,,,,,0.409090909,,
IN2020_V08,13,1,Cyclothone,8,1,32,0.1,,,,,,,,,,,,,0.285714286,,
IN2020_V08,14,27,Cyclothone,61,2,32,0.1,,,,,,,,,,,,,0.208333333,,
IN2020_V08,13,1,Cyclothone,7,1,34,0.1,,,,,,,,,,,,,0.217391304,,
IN2020_V08,7,5,Cyclothone,45,2,34,0.05,,,,,,,,,,,,,0.705882353,,
IN2020_V08,14,27,Cyclothone,52,2,34,0.1,,,,,,,,,,,,,1.25,,
IN2020_V08,13,1,Cyclothone,1,1,35,0.1,,,,,,,,,,,,,0.625,,
IN2020_V08,13,1,Cyclothone,5,1,35,0.1,,,,,,,,,,,,,0.166666667,,
IN2020_V08,7,5,Cyclothone,20,1,35,0.1,,,,,,,,,,,,,0.5,,
IN2020_V08,7,5,Cyclothone,35,2,35,0.1,,,,,,,,,,,,,0.25,,
IN2020_V08,7,5,Cyclothone,37,2,35,0.1,,,,,,,,,,,,,,,
IN2020_V08,14,27,Cyclothone,48,2,35,0.1,,,,,,,,,,,,,,,
IN2020_V08,14,27,Cyclothone,49,2,35,0.1,,,,,,,,,,,,,,,
IN2020_V08,14,27,Cyclothone,51,2,35,0.1,,,,,,,,,,,,,,,
IN2020_V08,14,27,Cyclothone,59,2,35,0.05,,,,,,,,,,,,,,,
IN2020_V08,13,1,Cyclothone,3,1,36,0.1,,,,,,,,,,,,,,,
IN2020_V08,13,1,Cyclothone,12,1,36,0.1,,,,,,,,,,,,,,,
IN2020_V08,7,5,Cyclothone,40,2,36,0.1,,,,,,,,,,,,,,,
IN2020_V08,7,5,Cyclothone,46,2,36,0.1,,,,,,,,,,,,,,,
IN2020_V08,14,27,Cyclothone,50,2,36,0.1,,,,,,,,,,,,,,,
IN2020_V08,14,27,Cyclothone,56,2,36,0.1,,,,,,,,,,,,,,,
IN2020_V08,13,1,Cyclothone,15,1,37,0.1,,,,,,,,,,,,,,,
IN2020_V08,7,5,Cyclothone,28,1,37,0.1,,,,,,,,,,,,,,,
IN2020_V08,7,5,Cyclothone,32,2,37,0.1,,,,,,,,,,,,,,,
IN2020_V08,14,27,Cyclothone,55,2,37,0.1,,,,,,,,,,,,,,,
IN2020_V08,7,5,Cyclothone,23,1,38,0.1,,,,,,,,,,,,,,,
IN2020_V08,7,5,Cyclothone,26,1,38,0.1,,,,,,,,,,,,,,,
IN2020_V08,7,5,Cyclothone,27,1,38,0.1,,,,,,,,,,,,,,,
IN2020_V08,7,5,Cyclothone,30,1,38,0.1,,,,,,,,,,,,,,,
IN2020_V08,7,5,Cyclothone,33,2,38,0.1,,,,,,,,,,,,,,,
IN2020_V08,14,27,Cyclothone,53,2,38,0.1,,,,,,,,,,,,,,,
IN2020_V08,14,27,Cyclothone,54,2,38,0.1,,,,,,,,,,,,,,,
IN2020_V08,13,1,Cyclothone,6,1,39,0.2,,,,,,,,,,,,,,,
IN2020_V08,13,1,Cyclothone,11,1,39,0.1,,,,,,,,,,,,,,,
IN2020_V08,7,5,Cyclothone,21,1,39,0.1,,,,,,,,,,,,,,,
IN2020_V08,7,5,Cyclothone,41,2,39,0.2,,,,,,,,,,,,,,,
