"","higher_taxa","Layer","total_POC_mg","POC_layer","percent_cont"
"1","Gelatinous (other)","Epi",3.52282967901709,3.66198095468369,0.962001092471924
"2","Gelatinous (other)","Umeso",0.315866955062151,0.398835316934647,0.791973382622756
"3","Gelatinous (other)","Lmeso",1.14576775080597,1.27907291467115,0.895779855599982
"4","Fish","Epi",0.0131006030775136,3.66198095468369,0.00357746346571189
"5","Fish","Umeso",0.0353989229731708,0.398835316934647,0.0887557381960016
"6","Fish","Lmeso",0.0848343325588137,1.27907291467115,0.0663248604405206
"7","Squid","Epi",0.0520944301872644,3.66198095468369,0.0142257512619325
"8","Squid","Umeso",0.00274181211511918,0.398835316934647,0.00687454695886035
"9","Squid","Lmeso",0.0137090605755959,1.27907291467115,0.0107179664414366
"10","Krill","Epi",9.1532513265477e-11,3.66198095468369,2.49953548088246e-11
"11","Krill","Umeso",6.04735618065135e-12,0.398835316934647,1.51625393336024e-11
"12","Krill","Lmeso",3.02367809032567e-12,1.27907291467115,2.36396069031222e-12
"13","P. atlanticum","Epi",0.0219439165802117,3.66198095468369,0.00599236229018212
"14","P. atlanticum","Umeso",0.0275574766356146,0.398835316934647,0.0690948756680197
"15","P. atlanticum","Lmeso",0.00153097092420081,1.27907291467115,0.00119693795923623
"16","Crustaceans (other)","Epi",0.0520123257300799,3.66198095468369,0.0142033304852544
"17","Crustaceans (other)","Umeso",0.0172701501425435,0.398835316934647,0.0433014565391997
"18","Crustaceans (other)","Lmeso",0.0332307998035448,1.27907291467115,0.0259803795564606
