"","Species","Layer","total_DIC_mg","mod_type"
"1","Chaetognath","Epi",5.15857477550156,"mesomizer"
"2","Chaetognath","Umeso",0.451375292856386,"mesomizer"
"3","Chaetognath","Lmeso",0.838268401019003,"mesomizer"
"4","Cranchidae","Epi",0.24428417190585,"mesomizer"
"5","Cranchidae","Umeso",0.0128570616792552,"mesomizer"
"6","Cranchidae","Lmeso",0.0642853083962762,"mesomizer"
"7","Euphausia similis","Epi",4.04338482946071e-13,"mesomizer"
"8","Euphausia similis","Umeso",7.16549210284177e-14,"mesomizer"
"9","Euphausia similis","Lmeso",3.58274605142088e-14,"mesomizer"
"10","Lampanyctus australis","Epi",0.0637577260628789,"mesomizer"
"11","Lampanyctus australis","Umeso",0.173056685027814,"mesomizer"
"12","Lampanyctus australis","Lmeso",0.0667938082563493,"mesomizer"
"13","Pyrosoma atlanticum","Epi",0.0613151483739156,"mesomizer"
"14","Pyrosoma atlanticum","Umeso",0.077000418888173,"mesomizer"
"15","Pyrosoma atlanticum","Lmeso",0.00427780104934295,"mesomizer"
"16","Sergestes spp","Epi",0.10005421398699,"mesomizer"
"17","Sergestes spp","Umeso",0.0413267405598436,"mesomizer"
"18","Sergestes spp","Lmeso",0.0761282062944488,"mesomizer"
"19","Themisto spp","Epi",0.0717649359361735,"mesomizer"
"20","Themisto spp","Umeso",0.0176264754930952,"mesomizer"
"21","Themisto spp","Lmeso",0.036511984949983,"mesomizer"
"22","Thysannoessa macura","Epi",3.09121239844303e-10,"mesomizer"
"23","Thysannoessa macura","Umeso",2.03816202095145e-11,"mesomizer"
"24","Thysannoessa macura","Lmeso",1.01908101047573e-11,"mesomizer"
