"","higher_taxa","Layer","total_DIC_mg","DIC_layer","percent_cont"
"1","Gelatinous (other)","Epi",1.79552370870111,6.95993573896654,0.257979926258302
"2","Gelatinous (other)","Umeso",0.183283378187262,6.2163874824569,0.029483905033993
"3","Gelatinous (other)","Lmeso",0.303729311874569,1.31135615643504,0.231614661191866
"4","Fish","Epi",0.0654323318543119,6.95993573896654,0.00940128390668558
"5","Fish","Umeso",0.122518594740183,6.2163874824569,0.0197089700547045
"6","Fish","Lmeso",0.578146859975026,1.31135615643504,0.440877069999608
"7","Squid","Epi",0.097742796322738,6.95993573896654,0.0140436348823605
"8","Squid","Umeso",0.00514435770119674,6.2163874824569,0.00082754778651017
"9","Squid","Lmeso",0.0257217885059837,1.31135615643504,0.0196146473097813
"10","Krill","Epi",0.251296099043434,6.95993573896654,0.0361060947210338
"11","Krill","Umeso",0.0334145667279269,6.2163874824569,0.00537523872542135
"12","Krill","Lmeso",0.0167072833639634,1.31135615643504,0.0127404620643889
"13","P. atlanticum","Epi",4.65009043987469,6.95993573896654,0.668122611224736
"14","P. atlanticum","Umeso",5.83964845937751,6.2163874824569,0.939395826894225
"15","P. atlanticum","Lmeso",0.324424914409862,1.31135615643504,0.247396493178345
"16","Crustaceans (other)","Epi",0.0998503631702649,6.95993573896654,0.0143464490068828
"17","Crustaceans (other)","Umeso",0.032378125722824,6.2163874824569,0.00520851150514627
"18","Crustaceans (other)","Lmeso",0.0626259983056329,1.31135615643504,0.0477566662560106
