"","Species","Layer","total_DIC_mg","mod_type"
"1","Chaetognath","Epi",3.14894119622684,"mesomizer"
"2","Chaetognath","Umeso",0.275532354669849,"mesomizer"
"3","Chaetognath","Lmeso",0.511702944386862,"mesomizer"
"4","Cranchidae","Epi",0.10505727677759,"mesomizer"
"5","Cranchidae","Umeso",0.00552933035671526,"mesomizer"
"6","Cranchidae","Lmeso",0.0276466517835763,"mesomizer"
"7","Euphausia similis","Epi",0.208487538407709,"mesomizer"
"8","Euphausia similis","Umeso",0.0369471587051637,"mesomizer"
"9","Euphausia similis","Lmeso",0.0184735793525818,"mesomizer"
"10","Lampanyctus australis","Epi",0.0432106472770492,"mesomizer"
"11","Lampanyctus australis","Umeso",0.117286042609134,"mesomizer"
"12","Lampanyctus australis","Lmeso",0.0452682971473849,"mesomizer"
"13","Pyrosoma atlanticum","Epi",6.32496244403282,"mesomizer"
"14","Pyrosoma atlanticum","Umeso",7.94297609250633,"mesomizer"
"15","Pyrosoma atlanticum","Lmeso",0.441276449583685,"mesomizer"
"16","Sergestes spp","Epi",0.059402633777681,"mesomizer"
"17","Sergestes spp","Umeso",0.02453587047339,"mesomizer"
"18","Sergestes spp","Lmeso",0.0451976561351921,"mesomizer"
"19","Themisto spp","Epi",0.0851435581311388,"mesomizer"
"20","Themisto spp","Umeso",0.0209124528743148,"mesomizer"
"21","Themisto spp","Lmeso",0.0433186523825092,"mesomizer"
"22","Thysannoessa macura","Epi",0.162886933476249,"mesomizer"
"23","Thysannoessa macura","Umeso",0.0107397978116208,"mesomizer"
"24","Thysannoessa macura","Lmeso",0.00536989890581041,"mesomizer"
