"Predator","Euphausia similis","Thysannoessa macura","Sergestes spp","Themisto spp","Lampanyctus australis","Nannobrachium achirus","Cyclothone spp","Bathylagus spp","Cranchidae","Chaetognath","Gymnosomata","Pyrosoma atlanticum","Atolla wyvillei"
"Euphausia similis",0,0,0,0,0,0,0,0,0,0,0,0,0
"Thysannoessa macura",0,0,0,0,0,0,0,0,0,0,0,0,0
"Sergestes spp",1,1,1,1,0,0,0,0,0,1,1,1,1
"Themisto spp",1,1,1,1,0,0,0,0,0,1,1,1,1
"Lampanyctus australis",1,1,1,1,1,1,1,1,1,1,1,1,1
"Nannobrachium achirus",1,1,1,1,1,1,1,1,1,1,1,1,1
"Cyclothone spp",1,1,1,1,1,1,1,1,1,1,1,1,1
"Bathylagus spp",1,1,1,1,1,1,1,1,1,1,1,1,1
"Cranchidae",1,1,1,1,1,1,1,1,1,1,1,1,1
"Chaetognath",1,1,1,1,1,1,1,1,1,1,1,1,1
"Gymnosomata",1,1,1,1,1,1,1,1,1,1,1,1,1
"Pyrosoma atlanticum",0,0,0,0,0,0,0,0,0,0,0,0,0
"Atolla wyvillei",1,1,1,1,1,1,1,1,1,1,1,1,1
