"Euphausia similis","Thysannoessa macura","Sergestes spp","Themisto spp","Lampanyctus australis","Nannobrachium achirus","Cyclothone spp","Bathylagus spp","Cranchidae","Chaetognath","Gymnosomata","Pyrosoma atlanticum","Atolla wyvillei","Predator"
0,0,0,0,0,0,0,0,0,0,0,0,0,"Euphausia similis"
0,0,0,0,0,0,0,0,0,0,0,0,0,"Thysannoessa macura"
0.67,0.55,1,0.89,0,0,0,0,0,0,0,0,0.4,"Sergestes spp"
0.78,0.66,0.89,1,0,0,0,0,0,0,0,0,0.35,"Themisto spp"
0.42,0.3,0.62,0.57,1,0.22,0.304,0.22,0.45,0.41,0.22,0,0.78,"Lampanyctus australis"
0.07,0.03,0.35,0.29,0.22,1,0.916,1,0.2,0.13,1,0,0.21,"Nannobrachium achirus"
0.154,0.114,0.434,0.374,0.304,0.916,1,0.916,0.284,0.214,0.916,0,0.238,"Cyclothone spp"
0.07,0.03,0.35,0.29,0.22,1,0.916,1,0.2,0.13,1,0,0.21,"Bathylagus spp"
0.87,0.83,0.7,0.81,0.45,0.2,0.284,0.2,1,0.93,0.2,0,0.24,"Cranchidae"
0.93,0.89,0.66,0.77,0.41,0.13,0.214,0.13,0.93,1,0.13,0,0.2,"Chaetognath"
0.07,0.03,0.35,0.29,0.22,1,0.916,1,0.2,0.13,1,0,0.21,"Gymnosomata"
0,0,0,0,0,0,0,0,0,0,0,0,0,"Pyrosoma atlanticum"
0.21,0.09,0.4,0.35,0.78,0.21,0.238,0.21,0.24,0.2,0.21,0,1,"Atolla wyvillei"
