"species","w_max","w_min","beta","biomass_observed","biomass_cutoff","k_vb","gear_mort","RQ","p_FC","z0","rho","n","p","w_mat","alpha","interaction_resource","pred_kernel_type","sigma","h","k","ks","q","gamma","w_mat25","m","erepro","R_max","temp_min","temp_max","encounterpred_scale","metab_min","metab_range"
"Euphausia similis",1.58489319246111,6.30957344480193e-05,3981071.70553497,0.197,0.006,0.6,0,1.29,0.15,0.1,200,0.666666666666667,0.7,0.396223298115278,0.6,1,"lognormal",2,5.24070119872617,0,0.648593578626277,0.716666666666666,2.54657586015478,0.354999615932392,1,0.00055331006410217,41.202201814019,-5,13,8232.69371438535,0.128627019600627,0.587074613941461
"Thysannoessa macura",1.58489319246111,6.30957344480193e-05,3981071.70553497,0.1582,0.0021,0.4,0,1.29,0.15,0.1,200,0.666666666666667,0.7,0.396223298115278,0.6,1,"lognormal",2,3.49380079915078,0,0.432395719084185,0.716666666666666,1.69771724010319,0.354999615932392,1,0.00139966034554911,36.6053901008746,-5,13,8232.69371438535,0.128627019600627,0.587074613941461
"Sergestes spp",50.1187233627272,6.30957344480193e-05,100,0.0704,0.104,0.8,0,1.4,0.15,0.3,200,0.666666666666667,0.7,12.5296808406818,0.6,1,"lognormal",2,22.9626239344135,0,2.53282252058151,0.716666666666666,19.1267168369329,11.2260735483136,1,3.08084557159436e-06,0.0102868667532569,-5,13,8232.69371438535,0.128627019600627,0.587074613941461
"Themisto spp",1.58489319246111,6.30957344480193e-05,3981071.70553497,0.1012,0.0013,0.6,0,0.97,0.15,0.1,200,0.666666666666667,0.7,0.396223298115278,0.6,1,"lognormal",2,5.24070119872617,0,0.648593578626277,0.716666666666666,2.54657586015478,0.354999615932392,1,0.00185659187752848,2.52779595056302,-5,13,8232.69371438535,0.128627019600627,0.587074613941461
"Lampanyctus australis",100,0.001,100,0.6665,0.829,0.2,0,0.9,0.07,0.2,200,0.666666666666667,0.7,25,0.6,1,"lognormal",2,7.10162014362271,0,0.765492049645604,0.716666666666666,5.91529426072966,22.3989614960191,1,0.000584528023659665,1.18430685597527,-5,13,8232.69371438535,0.128627019600627,0.587074613941461
"Nannobrachium achirus",100,0.001,100,0.0658,0.1181,0.4,0,0.9,0.07,0.2,200,0.666666666666667,0.7,25,0.6,1,"lognormal",2,14.2032402872454,0,1.53098409929121,0.716666666666666,11.8305885214593,22.3989614960191,1,0.000326699504050862,0.0585293434948048,-5,13,8232.69371438535,0.128627019600627,0.587074613941461
"Cyclothone spp",100,0.001,100,0.4307,0.0013,0.9,0,0.9,0.07,0.3,200,0.666666666666667,0.7,25,0.6,1,"lognormal",2,31.9572906463022,0,3.44471422340522,0.716666666666666,26.6188241732835,22.3989614960191,1,2.54618542589088e-05,0.0991306218322729,-5,13,8232.69371438535,0.128627019600627,0.587074613941461
"Bathylagus spp",100,0.001,100,0.1493,0.162,0.5,0,0.9,0.07,0.2,200,0.666666666666667,0.7,25,0.6,1,"lognormal",2,17.7540503590568,0,1.91373012411401,0.716666666666666,14.7882356518242,22.3989614960191,1,0.000132182935981918,0.0676987656286215,-5,13,8232.69371438535,0.128627019600627,0.587074613941461
"Cranchidae",25.1188643150958,6.30957344480193e-05,100,0.2333,8e-04,0.4,0,0.97,0.07,0.2,200,0.666666666666667,0.7,6.27971607877395,0.6,1,"lognormal",2,9.07874947571191,0,1.02472959191536,0.716666666666666,7.56214407166048,5.62636474617558,1,3.25696617295489e-05,0.150969323989831,-5,13,8232.69371438535,0.128627019600627,0.587074613941461
"Chaetognath",3.7,1.25892541179417e-06,1000,4.3799,0.006,0.2,0,0.97,0.11,0.1,200,0.666666666666667,0.7,0.925,0.6,1,"lognormal",2,2.42306015975842,0,0.291523823866864,0.716666666666666,1.78250308388026,0.828761575352705,1,0.00170754743275416,1356.29239978064,-5,12,7538.08442800623,0.128627019600627,0.525694259500605
"Gymnosomata",0.24,1.25892541179417e-06,1000,0.0126,4e-04,0.2,0,0.8,0.07,0.1,200,0.666666666666667,0.7,0.06,0.6,1,"lognormal",2,0.957327116964684,0,0.126174007871776,0.716666666666666,0.704249348246426,0.0537575075904457,1,0.00151550116904843,2929.93438594244,-5,13,8232.69371438535,0.128627019600627,0.587074613941461
"Pyrosoma atlanticum",416,1.99526231496888e-05,6309573.44480193,31.4392,6,0.2,0,1.16,0.22,0.2,200,0.666666666666667,0.7,104,0.6,1,"lognormal",2,11.757701030094,0,1.20856277763257,0.716666666666666,5.58328287767433,93.1796798234393,1,4.20414931382318e-07,61.6952717454917,0,20,9860.86636184925,0.211956867747889,1.10592388992549
"Atolla wyvillei",100,0.001,501.187233627272,0.1215,0.0021,0.2,0,0.97,0.07,0.1,200,0.666666666666667,0.7,25,0.6,1,"lognormal",2,7.10162014362271,0,0.765492049645604,0.716666666666666,5.41086993040786,22.3989614960191,1,0.000177392446002189,0.0629856679243011,-5,13,8232.69371438535,0.128627019600627,0.587074613941461
