"","higher_taxa","Layer","total_DIC_mg","DIC_layer","percent_cont"
"1","Gelatinous (other)","Epi",1.81275912636944,7.04055171206577,0.257474016313638
"2","Gelatinous (other)","Umeso",0.184971527670365,6.23940004907302,0.0296457233412764
"3","Gelatinous (other)","Lmeso",0.306576541846523,1.3280443112504,0.230848127016087
"4","Fish","Epi",0.0661865725416076,7.04055171206577,0.00940076506052503
"5","Fish","Umeso",0.12381936245927,6.23940004907302,0.0198447545413707
"6","Fish","Lmeso",0.585421606788684,1.3280443112504,0.440814814558025
"7","Squid","Epi",0.0986370320821087,7.04055171206577,0.0140098441309747
"8","Squid","Umeso",0.00519142274116361,6.23940004907302,0.000832038769806866
"9","Squid","Lmeso",0.0259571137058181,1.3280443112504,0.0195453671883723
"10","Krill","Epi",0.298576057419135,7.04055171206577,0.042408048350451
"11","Krill","Umeso",0.0397971553473736,6.23940004907302,0.00637836250831299
"12","Krill","Lmeso",0.0198985776736868,1.3280443112504,0.0149833687815368
"13","P. atlanticum","Epi",4.65995596980714,7.04055171206577,0.661873694048881
"14","P. atlanticum","Umeso",5.85203772952525,6.23940004907302,0.937916736144316
"15","P. atlanticum","Lmeso",0.325113207195847,1.3280443112504,0.24480599362663
"16","Crustaceans (other)","Epi",0.104436953846335,7.04055171206577,0.0148336320955296
"17","Crustaceans (other)","Umeso",0.0335828513295959,6.23940004907302,0.00538238469491714
"18","Crustaceans (other)","Lmeso",0.0650772640398389,1.3280443112504,0.0490023288293495
