"","higher_taxa","Layer","total_POC_mg","POC_layer","percent_cont"
"1","Gelatinous (other)","Epi",3.83979502390818,6.61440949377186,0.580519701346544
"2","Gelatinous (other)","Umeso",0.341517534099995,3.62841750627681,0.0941229981139718
"3","Gelatinous (other)","Lmeso",0.673346006880629,1.02436826508183,0.657328062410094
"4","Fish","Epi",0.0169070948599299,6.61440949377186,0.00255610041619735
"5","Fish","Umeso",0.0336829476816168,3.62841750627681,0.0092830959015462
"6","Fish","Lmeso",0.127534717704002,1.02436826508183,0.124500848036145
"7","Squid","Epi",0.0278653286081148,6.61440949377186,0.00421282181491074
"8","Squid","Umeso",0.00146659624253236,3.62841750627681,0.000404197212695421
"9","Squid","Lmeso",0.00733298121266179,1.02436826508183,0.00715854001204928
"10","Krill","Epi",0.11550364883372,6.61440949377186,0.017462427892086
"11","Krill","Umeso",0.0150640473188027,3.62841750627681,0.00415168521614268
"12","Krill","Lmeso",0.00753202365940137,1.02436826508183,0.00735284752188188
"13","P. atlanticum","Epi",2.56528591938088,6.61440949377186,0.387832945903388
"14","P. atlanticum","Umeso",3.22152185224576,3.62841750627681,0.88785864544883
"15","P. atlanticum","Lmeso",0.178973436235875,1.02436826508183,0.17471591256449
"16","Crustaceans (other)","Epi",0.0490524781810279,6.61440949377186,0.00741600262687331
"17","Crustaceans (other)","Umeso",0.015164528688113,3.62841750627681,0.00417937810681373
"18","Crustaceans (other)","Lmeso",0.0296490993892606,1.02436826508183,0.0289437894553401
