"","Species","Layer","total_DIC_mg","mod_type"
"1","Chaetognath","Epi",5.65255415027762,"mesomizer"
"2","Chaetognath","Umeso",0.494598488149292,"mesomizer"
"3","Chaetognath","Lmeso",0.918540049420113,"mesomizer"
"4","Cranchidae","Epi",0.126502360690223,"mesomizer"
"5","Cranchidae","Umeso",0.00665801898369597,"mesomizer"
"6","Cranchidae","Lmeso",0.0332900949184799,"mesomizer"
"7","Euphausia similis","Epi",0.24765425650411,"mesomizer"
"8","Euphausia similis","Umeso",0.043888096089336,"mesomizer"
"9","Euphausia similis","Lmeso",0.021944048044668,"mesomizer"
"10","Lampanyctus australis","Epi",0.0523669893600534,"mesomizer"
"11","Lampanyctus australis","Umeso",0.142138971120145,"mesomizer"
"12","Lampanyctus australis","Lmeso",0.054860655520056,"mesomizer"
"13","Pyrosoma atlanticum","Epi",7.22524188918802,"mesomizer"
"14","Pyrosoma atlanticum","Umeso",9.07355958177101,"mesomizer"
"15","Pyrosoma atlanticum","Lmeso",0.504086643431723,"mesomizer"
"16","Sergestes spp","Epi",0.0659873261521898,"mesomizer"
"17","Sergestes spp","Umeso",0.0272556347150349,"mesomizer"
"18","Sergestes spp","Lmeso",0.0502077481592749,"mesomizer"
"19","Themisto spp","Epi",0.0875021058751726,"mesomizer"
"20","Themisto spp","Umeso",0.021491745302674,"mesomizer"
"21","Themisto spp","Lmeso",0.0445186152698247,"mesomizer"
"22","Thysannoessa macura","Epi",0.166425449748745,"mesomizer"
"23","Thysannoessa macura","Umeso",0.0109731065768404,"mesomizer"
"24","Thysannoessa macura","Lmeso",0.00548655328842018,"mesomizer"
