,Site,daylight,Depth_Stratum,Deployment,ACat,Taxa_Groups,Acoustic_Category,Taxa_updated,CAAB_updated,nos,weight_g,av_weight,Weight_Std_gm3_gps,Abd_Std_nosm3_gps,Weight_Std_gm3_sp,Abd_Std_nosm3_sp,datetime_UTC_start,datetime_UTC_stop,lat_decdeg_start,long_decdeg_start,lat_decdeg_stop,long_decdeg_stop,VolumeFiltered_m3_speed,VolumeFiltered_m3_gps,Taxa_PLAOS
20,Trawl,Day,Integrated,1,Prawn,Crustaceans,Crustaceans,Acanthephyra quadrispinosa,28735007,9,6,0.666666667,0.000103346,0.000155019,0.00015186,0.00022779,5/12/2020 9:16,5/12/2020 10:36,-43.24783333,-144.6176667,-43.27483333,-144.6428333,39510.12352,58057.32164,Prawn
108,SOTS,Night,Lmeso,6,Prawn,Crustaceans,Crustaceans,Acanthephyra quadrispinosa,28735007,1,0.5,0.5,5.08E-06,1.02E-05,8.44E-06,1.69E-05,11/12/2020 11:49,11/12/2020 13:49,-46.886,-140.6205,-46.84733333,-140.6783333,59265.18528,98392.93882,Prawn
153,SOTS,Day,Lmeso,7,Prawn,Crustaceans,Crustaceans,Acanthephyra quadrispinosa,28735007,7,28,4,0.000420621,0.000105155,0.000472453,0.000118113,12/12/2020 4:25,12/12/2020 6:25,-46.90333333,-140.614,-46.9305,-140.5763333,59265.18528,66568.16634,Prawn
242,SOTS,Night,Meso,12,Prawn,Crustaceans,Crustaceans,Acanthephyra quadrispinosa,28735007,1,3,3,0.000129846,4.33E-05,0.00015186,5.06E-05,14/12/2020 14:23,14/12/2020 15:03,-46.9205,-140.6363333,-46.93233333,-140.6441667,19755.06176,23104.36243,Prawn
281,SOTS,Night,Lmeso,13,Prawn,Crustaceans,Crustaceans,Acanthephyra quadrispinosa,28735007,2,9.5,4.75,0.000186537,3.93E-05,0.000160296,3.37E-05,15/12/2020 11:46,15/12/2020 13:46,-46.90983333,-140.637,-46.88583333,-140.6598333,59265.18528,50928.31023,Prawn
326,SOTS,Day,Lmeso,14,Prawn,Crustaceans,Crustaceans,Acanthephyra quadrispinosa,28735007,9,30,3.333333333,0.000462516,0.000138755,0.000506199,0.00015186,16/12/2020 3:20,16/12/2020 5:20,-46.90783333,-140.646,-46.88283333,-140.6848333,59265.18528,64862.60608,Prawn
550,SOTS,Day,Lmeso,22,Prawn,Crustaceans,Crustaceans,Acanthephyra quadrispinosa,28735007,24,45,1.875,0.000687049,0.000366426,0.000759299,0.00040496,20/12/2020 2:51,20/12/2020 4:51,-46.92683333,-140.6515,-46.9575,-140.6813333,59265.18528,65497.47942,Prawn
710,55S,Day,Lmeso,28,Prawn,Crustaceans,Crustaceans,Acanthephyra quadrispinosa,28735007,5,28,5.6,0.000340942,6.09E-05,0.000472453,8.44E-05,26/12/2020 5:28,26/12/2020 7:28,-54.17466667,-137.0768333,-54.211,-137.1255,59265.18528,82125.47455,Prawn
757,55S,Night,Lmeso,29,Prawn,Crustaceans,Crustaceans,Acanthephyra quadrispinosa,28735007,5,20,4,6.07E-05,1.52E-05,0.000337466,8.44E-05,26/12/2020 15:44,26/12/2020 17:44,-54.21633333,-137.4196667,-54.21516667,-137.1031667,59265.18528,329265.1773,Prawn
810,55S,Day,Lmeso,30,Prawn,Crustaceans,Crustaceans,Acanthephyra quadrispinosa,28735007,11,55,5,0.000498725,9.97E-05,0.002784097,0.000556819,27/12/2020 2:28,27/12/2020 3:08,-54.164,-137.2366667,-54.18383333,-137.337,19755.06176,110281.1743,Prawn
